Module,Stage,Status,business_id,name,address,city,state,postal_code,PhoneDayNumber,PhoneDayExt,Status
FoodFacility,Active,Permitted,19951,Bb's Jazz Blues & Soups,700 S BROADWAY,St Louis,MO,63102,436-5222,,Permitted
FoodFacility,Active,Permitted,KHUS-9JXMH4,BC Bakehouse,730 Carroll,St Louis,MO,63104,590-0571,,Permitted
FoodFacility,Active,Permitted,1400367,Beadz And More,2809 Pomme Meadows,Arnold,MO,63010,239-1895,,Permitted
FoodFacility,Active,Permitted,PMAY-8X9JAN,Beaumont High School Culinary Lab,3836 Natural Bridge,St Louis,MO,63107,533-2410,,Permitted
FoodFacility,Active,Permitted,1400314,Beauvais Manor Healthcare & Rehab Center,3625 Magnolia,St Louis,MO,63110,771-2990,,Permitted
FoodFacility,Active,Permitted,35799,Becky Thatcher,50 S L K Sullivan,St Louis,MO,63102,923-3015,,Permitted
FoodFacility,Active,Permitted,1200585,Begin New Venture Center,800 N TUCKER 4TH FLR,St Louis,MO,63101,314-1969,,Permitted
FoodFacility,Active,Permitted,1200290,Beginning Futures,4981 THRUSH,St Louis,MO,63120,381-8400,,Permitted
FoodFacility,Active,Permitted,36217,Behrmann's Tavern,3155 MERAMEC,St Louis,MO,63118,353-9626,,Permitted
FoodFacility,Active,Permitted,1400672,Bellacinos Pizza & Grinders,4260 Hampton,St Louis,MO,63109,832-9700,,Permitted
FoodFacility,Active,Permitted,MLEN-962NRD,Bellas Frozen Yogurt & Cafe,1021 Washington Ave,SAINT LOUIS,MO,63101,,,Permitted
FoodFacility,Active,Permitted,37936,Ben & Jerrys,405 S Broadway,St Louis,MO,63102,306-9400,,Permitted
FoodFacility,Active,Permitted,38322,Ben & Jerry's,405 S BROADWAY,St Louis,MO,63102,306-9400,,Permitted
FoodFacility,Active,Permitted,38322,Ben & Jerry's,405 S BROADWAY,St Louis,MO,63102,314-9400,,Permitted
FoodFacility,Active,Permitted,38322,Ben & Jerry's,405 S Broadway,St Louis,MO,63102,306-9400,,Permitted
FoodFacility,Active,Permitted,38322,Ben & Jerry's,405 S Broadway,St Louis,MO,63102,306-9400,,Permitted
